"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"SAOUHSC_T00048",2.97403701252947,11.3848337901738,7.1475272618156,5.56302770495975e-10,3.72722856232303e-08,12.4903463620321
"SAOUHSC_T00034",1.8123004243896,10.607123851638,4.22090428927957,6.9171932837977e-05,0.00231725975007223,1.15849106252504
"SAOUHSC_T00026",1.28924375455799,11.2699306916228,3.28517609417981,0.00156797334788056,0.0350180714359992,-1.85256728115879
"SAOUHSC_T00024",-1.76338237220302,9.11019796470075,-2.93700110994962,0.0044320695113327,0.0706438715160784,-2.45720586604622
"SAOUHSC_T0005",1.20514768246589,12.5892614099221,2.87632037519263,0.0052719307101551,0.0706438715160784,-2.94231768575365
"SAOUHSC_T0006",1.50404714413311,8.60474847713419,2.37306607829561,0.0202777929306729,0.226435354392515,-3.76145816808882
"SAOUHSC_T00033",-0.92386913209418,11.8101235917126,-2.22799734433135,0.0289642057226868,0.27722882620286,-4.4369450797648
"SAOUHSC_T00036",-1.21310484982662,9.77004531070438,-2.08925623584218,0.0401730289039577,0.296640672519152,-4.49278619592637
"SAOUHSC_T00030",-1.32704711893195,8.88804323371161,-2.04895304897392,0.044064427248724,0.296640672519152,-4.45051945364122
"SAOUHSC_T00050",1.71646538989142,6.70756456627215,2.04686371193441,0.0442747272416645,0.296640672519152,-4.21220025958574
"SAOUHSC_T0007",-0.87954685895114,11.1883854874819,-1.95173439700567,0.0548091665562028,0.333837650842326,-4.92425848324105
"SAOUHSC_T00023",0.803954118298669,10.5656315040711,1.84269620640547,0.0694367274102759,0.368443287118608,-5.13685802275166
"SAOUHSC_T00031",1.77514296269249,5.29201538785489,1.82135111121961,0.0726537664614558,0.368443287118608,-4.49041429757303
"SAOUHSC_T00035",-0.948839984880457,9.99777114224104,-1.7938072887598,0.0769881495471719,0.368443287118608,-5.07491368905942
"SAOUHSC_T00037",1.12712904176639,8.28561200380403,1.6858680473929,0.0960944860768113,0.408209709961111,-5.01550770925211
"SAOUHSC_T00047",0.796592091140172,10.1445467440965,1.67873507138644,0.0974829158116085,0.408209709961111,-5.33407963408651
"SAOUHSC_T00040",-0.689878641413646,11.419003133727,-1.62300789161849,0.108901927321285,0.42920171356036,-5.53009770441727
